,state,PK12ed_real,PK12ed_realperch,highered_real,highered_realperch,edsubs_real,edsubs_realperch,edservs_real,edservs_realperch,HeadStartPriv_real,HeadStartPriv_realperch,year
46,Virginia,14285110.0,7.243081569671631,1981299.625,1.0045925378799438,679503.5625,0.3445335626602173,287533.90625,0.14579038321971893,76894.8359375,0.03898853808641434,2011
47,Washington,10356254.0,6.18222188949585,2812589.75,1.678990602493286,820320.125,0.4896945357322693,602289.5625,0.3595400154590607,62358.0390625,0.037224967032670975,2011
48,West Virginia,3247038.5,7.943067073822021,588276.9375,1.4390723705291748,153234.0,0.3748486340045929,561716.375,1.374098539352417,46256.3671875,0.11315462738275528,2011
49,Wisconsin,10836597.0,7.701632022857666,2973614.25,2.1133649349212646,322670.125,0.22932352125644684,332940.15625,0.2366224974393845,87451.796875,0.062152497470378876,2011
50,Wyoming,1494911.875,10.462709426879883,442172.21875,3.094710350036621,50054.80859375,0.35032761096954346,132385.46875,0.926550030708313,13001.1455078125,0.09099345654249193,2011
0,Alabama,6679082.0,5.651526927947997,1949420.25,1.649508357048035,485844.625,0.4110990166664124,298453.09375,0.2525370717048645,112992.0234375,0.09560856968164444,2012
1,Alaska,2229770.25,11.259589195251465,543957.1875,2.746800661087036,20600.61328125,0.104026161134243,100451.421875,0.5072458982467651,15224.6259765625,0.07687924057245255,2012
2,Arizona,7379012.5,4.328549385070802,2248956.75,1.319244384765625,605797.1875,0.35536232590675354,262755.53125,0.154133141040802,95606.2890625,0.05608291923999786,2012
3,Arkansas,4470877.5,5.965568542480469,1497729.875,1.998446702957153,543284.625,0.724914014339447,138112.765625,0.1842862367630005,78764.09375,0.10509628057479857,2012
4,California,60426560.0,6.191021919250487,24650034.0,2.525527000427246,4383466.0,0.4491093754768372,831809.6875,0.08522331714630127,651738.0,0.06677401810884476,2012
